feature,family,information_gain,random_forest_importance,xgboost_importance,information_gain_rank,random_forest_importance_rank,xgboost_importance_rank,mean_rank
gfcc_delta_3_mean,gfcc_delta,1.5071662370998733,0.005361100737727051,0.0048522917,76,57,109,80.66666666666667
chroma_1_std,chroma,1.508991479512456,0.005141210665325559,0.0052565276,51,115,78,81.33333333333333
mfcc_delta2_10_mean,mfcc_delta2,1.5090841912601778,0.00520623857717989,0.004937856,49,94,101,81.33333333333333
gfcc_delta_2_mean,gfcc_delta,1.510851618643207,0.004987139594417597,0.0052491343,26,140,79,81.66666666666667
mfcc_7_mean,mfcc,1.501008430639038,0.005784981292174183,0.005620151,166,18,62,82.0
mfcc_delta2_9_std,mfcc_delta2,1.5058069441687787,0.005188097012722747,0.0058205123,106,97,47,83.33333333333333
mfcc_delta2_5_std,mfcc_delta2,1.502280124537801,0.005509530901802653,0.0056892554,154,41,56,83.66666666666667
gfcc_6_std,gfcc,1.5102302110405603,0.004595646839837801,0.0059972736,34,181,38,84.33333333333333
chroma_3_mean,chroma,1.5034112390142838,0.005695802600405059,0.0050886623,142,22,90,84.66666666666667
gfcc_10_std,gfcc,1.5084827192336925,0.004693425870794675,0.0062781856,58,168,28,84.66666666666667
mfcc_0_std,mfcc,1.5002154822424718,0.0057817303214800116,0.0055128406,171,19,65,85.0
gfcc_delta_10_mean,gfcc_delta,1.5057080169613632,0.0052481356908615825,0.005603318,111,82,63,85.33333333333333
mfcc_delta2_4_std,mfcc_delta2,1.5025547542823334,0.005361803378028692,0.0057410616,149,56,52,85.66666666666667
mfcc_delta_9_mean,mfcc_delta,1.5076531687097892,0.005209725438540566,0.00499219,69,92,98,86.33333333333333
gfcc_delta2_9_std,gfcc_delta2,1.5132896571415169,0.004347788401800581,0.0056611537,12,189,59,86.66666666666667
gfcc_delta2_12_std,gfcc_delta2,1.5116047410748947,0.004850182891835184,0.0051485226,20,156,86,87.33333333333333
spectral_centroid_mean,spectral_centroid,1.5084969718636705,0.005376145536974034,0.004403297,57,53,153,87.66666666666667
gfcc_delta2_3_std,gfcc_delta2,1.5080872009745863,0.004751428129824464,0.0059512514,63,162,40,88.33333333333333
mfcc_delta_3_mean,mfcc_delta,1.5107126402028888,0.005160581295337468,0.0046284585,28,107,131,88.66666666666667
gfcc_3_std,gfcc,1.5077794226855963,0.004748353215427695,0.0060039484,67,163,37,89.0
mfcc_delta_3_std,mfcc_delta,1.5073670135605393,0.005176457252545611,0.0050243796,72,101,95,89.33333333333333
gfcc_delta_1_mean,gfcc_delta,1.500136519099089,0.00530034676443027,0.006112106,173,64,34,90.33333333333333
mfcc_2_mean,mfcc,1.5058997007056434,0.005492538058964167,0.0047608535,105,43,123,90.33333333333333
gfcc_7_mean,gfcc,1.5062244838536254,0.00557937446798349,0.004433175,97,31,149,92.33333333333333
mfcc_delta_12_mean,mfcc_delta,1.5094482233233062,0.00523227272950211,0.0045093875,43,88,146,92.33333333333333
gfcc_delta_8_mean,gfcc_delta,1.5061223105925783,0.005377415750136011,0.0046617887,99,52,127,92.66666666666667
mfcc_delta_10_mean,mfcc_delta,1.5128997936686597,0.005276485848799112,0.0034202968,14,73,191,92.66666666666667
chroma_1_mean,chroma,1.5099744224163327,0.004893833016551546,0.0050427914,37,150,92,93.0
gfcc_delta2_1_std,gfcc_delta2,1.5038049215162985,0.005039005419813058,0.0069538318,136,134,10,93.33333333333333
mfcc_delta2_2_std,mfcc_delta2,1.503438711164237,0.005272317095059378,0.005577353,141,75,64,93.33333333333333
mfcc_delta2_8_std,mfcc_delta2,1.5059694551806004,0.0054029208726441924,0.0046486645,103,50,129,94.0
gfcc_12_mean,gfcc,1.5057716772103495,0.0052868635653113534,0.004881866,108,69,105,94.0
rms_std,rms,1.5060528805593916,0.004980248343638543,0.0059487447,100,141,41,94.0
gfcc_delta_7_std,gfcc_delta,1.5073531539738636,0.004282449282330652,0.0064688735,74,191,20,95.0
mfcc_delta_2_std,mfcc_delta,1.5024163776827772,0.0054491882640213315,0.0051451344,152,46,87,95.0
gfcc_delta_6_std,gfcc_delta,1.5158532016402868,0.004971882177893389,0.004578666,10,142,137,96.33333333333333
spectral_bandwidth_mean,spectral_bandwidth,1.497516357011103,0.005606428053763029,0.005289739,186,29,74,96.33333333333333
chroma_7_mean,chroma,1.516194014070762,0.004947661760286199,0.0045825522,8,146,136,96.66666666666667
gfcc_delta2_4_mean,gfcc_delta2,1.5064264440840298,0.0052979851299065316,0.0045603034,89,65,139,97.66666666666667
mfcc_9_mean,mfcc,1.4994934343008983,0.005566748421848052,0.005228603,178,33,82,97.66666666666667
gfcc_11_mean,gfcc,1.505174305151711,0.005565690065855045,0.0045227674,119,34,141,98.0
gfcc_delta_5_std,gfcc_delta,1.5064889872743759,0.004658475207308687,0.006248034,88,175,31,98.0
gfcc_5_std,gfcc,1.5104590551499113,0.004745646988543067,0.0049769995,31,164,100,98.33333333333333
mfcc_delta_11_mean,mfcc_delta,1.5077963741515832,0.005255019981376818,0.0043047504,66,79,157,100.66666666666667
chroma_8_std,chroma,1.5079333334821008,0.004822236253230526,0.005244919,64,158,81,101.0
gfcc_delta2_0_std,gfcc_delta2,1.5040371407655888,0.005062292270177105,0.0060319602,135,132,36,101.0
chroma_11_mean,chroma,1.5112635791840177,0.0051766584504928876,0.003870207,23,100,182,101.66666666666667
mfcc_delta_6_std,mfcc_delta,1.5040489947752362,0.005372322658558575,0.004792156,134,54,117,101.66666666666667
mfcc_10_std,mfcc,1.5108372011721922,0.004919841706869342,0.004633594,27,149,130,102.0
gfcc_1_std,gfcc,1.5041447606752474,0.0051444067414420066,0.0056217997,131,114,61,102.0
mfcc_delta2_12_mean,mfcc_delta2,1.5097705084431083,0.005258239622021018,0.0034430108,39,78,190,102.33333333333333
gfcc_delta_7_mean,gfcc_delta,1.5086990184296893,0.005243920516493076,0.0041296706,54,84,170,102.66666666666667
gfcc_delta_0_std,gfcc_delta,1.4985884349957792,0.005105738238871551,0.009569133,182,124,2,102.66666666666667
mfcc_8_mean,mfcc,1.498701311578849,0.005683945638011864,0.004888,181,24,104,103.0
gfcc_delta2_7_std,gfcc_delta2,1.506220166698717,0.0043258560005848355,0.006440949,98,190,21,103.0
mfcc_delta2_6_mean,mfcc_delta2,1.5072599728797402,0.005275536671978551,0.004224285,75,74,161,103.33333333333333
chroma_8_mean,chroma,1.507539201947672,0.0048902350035971215,0.005060715,71,151,91,104.33333333333333
gfcc_delta_1_std,gfcc_delta,1.512216234214485,0.004760739637832114,0.004565354,16,161,138,105.0
gfcc_delta2_0_mean,gfcc_delta2,1.5065657518339088,0.00517242050978038,0.0046616136,86,103,128,105.66666666666667
gfcc_delta_4_std,gfcc_delta,1.5090058724704472,0.004547423537103248,0.005150512,50,184,85,106.33333333333333
gfcc_delta2_3_mean,gfcc_delta2,1.5095067003514098,0.005153812098559256,0.0041509736,41,110,168,106.33333333333333
mfcc_delta2_7_std,mfcc_delta2,1.4998702729400935,0.005336617347601173,0.00517797,176,60,84,106.66666666666667
mfcc_delta_0_std,mfcc_delta,1.5101761594640335,0.0051840292588544315,0.0035043482,35,98,188,107.0
gfcc_delta_10_std,gfcc_delta,1.5117795040731852,0.004486697392811913,0.004803824,19,187,115,107.0
mfcc_delta2_11_mean,mfcc_delta2,1.5073559120661735,0.005137166670754655,0.0045958804,73,116,134,107.66666666666667
chroma_10_std,chroma,1.505779907490878,0.005169924158419998,0.004825136,107,105,113,108.33333333333333
mfcc_delta2_8_mean,mfcc_delta2,1.503546095841832,0.005290507149959118,0.0047764536,138,68,119,108.33333333333333
gfcc_1_mean,gfcc,1.5043935366889527,0.004617099171452045,0.0064245234,126,178,22,108.66666666666667
mfcc_delta_10_std,mfcc_delta,1.5111113705106034,0.005030466458483356,0.004171053,24,135,167,108.66666666666667
mfcc_delta_7_std,mfcc_delta,1.505180731140336,0.0049235883933151665,0.005500914,118,148,66,110.66666666666667
